barometric_pressure,moon_phase,tide_phase,time_of_day,weather,wind_direction,wind_scale,success
25.47,WG,High,Daytime,Clear,SW,4,0
26.15,LQ,High,Daytime,Cloudy,NW,5,1
21.22,FQ,High,Night,Clear,SE,6,0
1.97,WC,High,Night,Cloudy,N,3,1
22.89,WG,Low,Night,Rain,E,3,0
2.22,FM,Low,Daytime,Clear,SW,6,0
16.06,FM,High,Night,Cloudy,S,7,1
16.77,FM,High,Night,Clear,W,2,0
10.07,FQ,High,Daytime,Clear,N,4,1
17.32,NM,Low,Night,Rain,E,3,1
19.73,WC,High,Night,Rain,NW,8,0
22.6,NM,High,Daytime,Rain,SW,3,0
7.86,FM,High,Night,Clear,SE,4,1
14.4,LQ,Low,Daytime,Cloudy,SE,8,0
4.54,FQ,High,Night,Clear,N,1,1
29.47,WG,Low,Night,Cloudy,SW,8,0
10.93,NM,High,Daytime,Clear,SE,3,0
20.83,FQ,Low,Night,Rain,S,2,0
3.87,FQ,Low,Night,Rain,N,2,1
20.65,LQ,Low,Daytime,Clear,SW,3,1
4.48,WC,High,Night,Rain,N,3,0
22.34,WC,Low,Daytime,Rain,SW,2,0
19.83,FM,High,Night,Clear,NE,7,1
14.44,NM,Low,Daytime,Clear,N,6,1
18.16,WC,Low,Night,Rain,W,3,1
28.86,FM,Low,Night,Clear,NE,3,1
20.96,LQ,Low,Daytime,Cloudy,SE,1,0
7.45,WC,Low,Night,Cloudy,NE,7,0
8.16,WC,High,Night,Cloudy,N,6,1
2.69,FQ,Low,Night,Rain,N,1,0
26.63,FQ,Low,Daytime,Rain,E,3,0
21.38,WG,High,Night,Rain,SE,6,0
3.92,NM,High,Daytime,Cloudy,SW,7,0
15.17,WC,Low,Night,Rain,S,2,1
28.57,FM,Low,Night,Clear,W,7,1
4.01,WG,Low,Daytime,Clear,NW,8,1
10.27,WG,Low,Night,Rain,N,5,1
17.15,WC,High,Daytime,Cloudy,SW,5,0
7.86,WG,Low,Night,Clear,N,5,1
3.33,WC,High,Night,Rain,W,1,1
27.03,WG,Low,Night,Clear,N,6,1
26.34,NM,Low,Night,Cloudy,N,7,1
15.14,NM,Low,Daytime,Rain,E,7,1
17.82,FQ,Low,Night,Rain,NE,4,1
28.58,LQ,Low,Night,Rain,SE,8,1
17.97,WC,High,Daytime,Clear,S,8,0
3.36,FM,Low,Daytime,Rain,S,2,0
27.09,WG,High,Daytime,Cloudy,N,6,0
6.0,WC,High,Night,Rain,NW,4,0
23.99,WG,High,Night,Rain,SE,6,0
24.11,WC,Low,Night,Rain,N,6,1
11.16,NM,High,Daytime,Rain,NE,6,1
22.42,LQ,High,Daytime,Cloudy,NW,3,1
7.79,WG,High,Daytime,Rain,NE,4,0
4.34,WG,Low,Daytime,Cloudy,W,3,1
16.44,WC,Low,Daytime,Clear,W,3,0
17.38,FM,High,Night,Cloudy,W,3,0
4.85,WG,Low,Daytime,Cloudy,SW,3,0
4.68,NM,High,Night,Cloudy,SW,7,1
26.55,FQ,Low,Daytime,Clear,NE,8,1
11.78,WC,Low,Night,Rain,SE,4,0
13.91,WG,High,Night,Cloudy,SW,7,1
19.56,LQ,Low,Night,Rain,S,4,0
10.59,NM,High,Daytime,Rain,E,7,1
29.63,WC,High,Night,Clear,N,8,1
21.89,WC,Low,Night,Cloudy,NE,4,1
26.24,WC,Low,Daytime,Cloudy,NW,4,1
1.93,WC,Low,Daytime,Cloudy,W,2,0
16.79,WG,Low,Night,Clear,NE,5,1
27.33,FM,High,Night,Rain,NW,1,1
1.54,FM,Low,Night,Cloudy,NW,7,1
5.35,NM,Low,Night,Clear,NE,1,1
6.36,FM,High,Night,Clear,NE,6,0
21.32,WC,High,Night,Rain,SE,1,1
17.77,WG,Low,Night,Cloudy,SE,3,1
